Village
10
field,field,field,field,field,field,obstacleStone,field,field,field,
field,field,field,field,field,field,field,field,field,field,
field,field,field,field,field,field,field,field,field,field,
field,obstacleWood,field,field,field,field,field,field,field,field,
field,field,field,field,field,field,field,field,field,field,
field,field,field,field,field,field,field,field,field,field,
field,field,field,obstacleWood,obstacleWood,field,field,field,field,field,
field,field,field,field,field,field,field,field,field,field,
field,field,field,field,field,field,field,obstacleWood,field,field,
field,field,field,field,field,field,field,field,field,field,
Player
0
0
0
0
