Village
10
field,generatorWood,generatorWood,field,obstacleStone,field,field,field,field,field,
field,generatorStone,generatorWood,generatorStone,generatorStone,field,field,field,field,field,
generatorWood,generatorStone,generatorStone,generatorWood,generatorStone,generatorCombo,obstacleStone,field,field,field,
obstacleStone,field,field,field,field,field,field,field,field,field,
field,field,field,field,field,field,generatorWood,field,field,field,
field,field,field,obstacleStone,field,field,field,field,field,field,
field,field,field,field,field,generatorFinal,field,field,generatorCombo,field,
field,field,obstacleStone,field,generatorFinal,generatorFinal,field,field,field,field,
field,field,field,field,field,field,generatorFinal,field,field,field,
field,field,field,field,field,field,field,field,field,field,
Player
98370
1065620
3160
3160
1651677724
